,count,mean,std,min,25%,50%,75%,max
id_faixa,5533.0,1.2828483643592987,0.6312456996807622,1.0,1.0,1.0,1.0,6.0
ge005,5533.0,33722.94162298934,185573.30719715604,854.0,5311.0,11305.0,24976.0,11895578.0
ge006,5533.0,28923.956443159226,184560.92539012444,201.0,3217.0,7234.0,17858.0,11877735.0
pop_rural,5533.0,4798.985179830111,5878.673569634542,3.0,1376.0,2870.0,5927.0,104995.0
rano_gfi1300,4810.0,256195370.8666258,2446419391.718395,10000.0,39001493.735,69231990.33,146675854.71,117010881376.12
rano_gfi1302,874.0,208849.9300228833,2727127.684174353,0.0,0.0,0.0,0.0,56656000.0
rano_gfi1303,3419.0,252515.0956215268,2288021.0297415946,0.0,0.0,0.0,0.0,61623421.66
rano_gfi1304,955.0,180285.3208272251,2385890.609337888,0.0,0.0,0.0,0.0,59155972.12
rano_gfi1305,911.0,42057.054050493956,947995.1880136429,0.0,0.0,0.0,0.0,26759807.15
id_faixa_1,5532.0,1.2828994938539406,0.6312913031851732,1.0,1.0,1.0,1.0,6.0
ge005_22853,5532.0,33724.90654374548,185590.02462225893,854.0,5311.0,11303.0,24976.5,11895578.0
ge006_13792,5532.0,28926.691793203183,184577.496698959,201.0,3216.25,7230.0,17862.0,11877735.0
pop_rural_9061,5532.0,4798.214750542299,5878.9256137086695,3.0,1376.0,2869.0,5922.5,104995.0
gap1401_0,4809.0,79105.82234352255,1731771.9433958274,0.0,0.0,0.0,0.0,89935677.53
gap1402_7512,4809.0,242093.56122686627,7864587.417817722,0.0,0.0,0.0,0.0,420304172.0
gap1403_039,4809.0,3.3690081097941365,106.80751197077772,0.0,0.0,0.0,0.0,5236.0
quantidade_de_poos_de_visita_pv_da_rede_de_drenagem,3434.0,518.7501456027956,3032.704245931841,0.0,2.0,28.0,150.0,88441.0
investimento_per_capita,5533.0,0.0009014768543380071,0.005932350835326881,3.640334910811795e-05,0.0002002803925495694,0.00040192926045016077,0.0007993605115907274,0.3333333333333333
